EVTNAME91001; We took the naval blockade; X
gain_state_austria_all; Capture Region - Austria (24) (NMP); X
gain_state_austria_all_short; Capture region Austria; X
gain_state_austria_all_setup_all; Capture region in Austria Powers $ RECIPIENT $ .; X
gain_state_czechoslovakia_all; Capture region - Czechoslovakia (24); X
gain_state_czechoslovakia_all_short; region Accession Czechoslovakia; X
gain_state_czechoslovakia_all_setup_all; Capture a region of Czechoslovakia in Power $ RECIPIENT $ .; X
gain_state_czech_all; Capture Region - Czech Republic (18); X
gain_state_czech_all_short; region of the Czech Republic Accession (18); X
gain_state_czech_all_setup_all; Seize the region in the Czech Republic Power $ RECIPIENT $ .; X
gain_state_slovakia_all; Capture Region - Slovakia (12); X
gain_state_slovakia_all_short; Capture Region Slovakia (12); X
gain_state_slovakia_all_setup_all; Capture Slovakia region at Power $ RECIPIENT $ .; X
gain_state_czech; Capture province - Czech Republic; X
gain_state_czech_short; Capture STATE $ $ Province; X
gain_state_czech_setup_all; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_slovakia; province Capture - Slovakia; X
gain_state_slovakia_short; Capture STATE $ $ Province; X
gain_state_slovakia_setup_all; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_yugoslavia_all; Capture region - Yugoslavia (12); X
gain_state_yugoslavia_all_short; Capture region of Yugoslavia (12); X
gain_state_yugoslavia_all_setup_all; Capture the region of Yugoslavia in Power $ RECIPIENT $ .; X
gain_state_albania_all; Capture the region - Albania (8); X
gain_state_albania_all_short; region Albania Accession (8); X
gain_state_albania_all_setup_all; Capture region in Albania Power $ RECIPIENT $ .; X
gain_state_bulgaria_all; Capture the region - Bulgaria (12); X
gain_state_bulgaria_all_short; Bulgaria (12) Accession of the region; X
gain_state_bulgaria_all_setup_all; Seize Power in Bulgaria region $ RECIPIENT $ .; X
gain_state_greece_all; Capture Region - Greece (12); X
gain_state_greece_all_short; Capture Region Greece (12); X
gain_state_greece_all_setup_all; Capture region in Greece Power $ RECIPIENT $ .; X
gain_state_romania_all; Capture region - Romania (12); X
gain_state_romania_all_short; Capture Region Romania (12); X
gain_state_romania_all_setup_all; Capture region in Romania Power $ RECIPIENT $ .; X
gain_state_hungary_all; Capture the region - Hungary (12); X
gain_state_hungary_all_short; Accession Hungary region (12); X
gain_state_hungary_all_setup_all; Capture region in Hungary Power $ RECIPIENT $ .; X
gain_state_portugal_all; Capture the region - Portugal (12); X
gain_state_portugal_all_short; Capture region Portugal (12); X
gain_state_portugal_all_setup_all; Capture the STATE region $ $ y Power $ RECIPIENT $ .; X
gain_state_denmark_all; Capture the region - Denmark (18); X
gain_state_denmark_all_short; Capture region Denmark (18); X
gain_state_denmark_all_setup_all; Capture region in Denmark Powers $ RECIPIENT $ .; X
gain_state_norway_all; Capture Region - Norway (18); X
gain_state_norway_all_short; Norway region Accession (18); X
gain_state_norway_all_setup_all; Capture the region of Norway in Power $ RECIPIENT $ .; X
gain_state_sweden_all; Capture region - Sweden (24) (NMP); X
gain_state_sweden_all_short; region Accession Sweden; X
gain_state_sweden_all_setup_all; Capture region in Sweden Power $ RECIPIENT $ .; X
gain_state_finland_all; Capture region - Finland (12); X
gain_state_finland_all_short; Capture Finland region (12); X
gain_state_finland_all_setup_all; Capture region in Finland Power $ RECIPIENT $ .; X
gain_state_baltic_all; Capture the region - the Baltic States (12); X
gain_state_baltic_all_short; Accession Baltic region (12); X
gain_state_baltic_all_setup_all; Seize the Baltic region in Power $ RECIPIENT $ .; X
gain_state_belorussia_all; Capture region - Belarus (12); X
gain_state_belorussia_all_short; Capture region Belarus (12); X
gain_state_belorussia_all_setup_all; Seize Power in the region Belarus $ RECIPIENT $ .; X
gain_state_ukraine_all; Capture region - Ukraine (24); X
gain_state_ukraine_all_short; Capture regions of Ukraine (24); X
gain_state_ukraine_all_setup_all; Capture region in Ukraine Power $ RECIPIENT $ .; X
gain_state_azer_all; Capture the region - Azerbaijan (8); X
gain_state_azer_all_short; Capture Region Azerbaijan (8); X
gain_state_azer_all_setup_all; Capture regions of Azerbaijan in Power $ RECIPIENT $ .; X
gain_state_georgia_all; Capture the region - Georgia (6); X
gain_state_georgia_all_short; Capture Georgia region (6); X
gain_state_georgia_all_setup_all; Grab Georgia region at Power $ RECIPIENT $ .; X
gain_state_armenia_all; Capture the region - Armenia (8); X
gain_state_armenia_all_short; region of Armenia Accession (8); X
gain_state_armenia_all_setup_all; Capture region Armenia in Power $ RECIPIENT $ .; X
gain_state_turkey_all; Capture the region - Turkey (24); X
gain_state_turkey_all_short; Turkey Accession region (24); X
gain_state_turkey_all_setup_all; Capture region Turkey have powers $ RECIPIENT $ .; X
gain_state_siria_lebanon_all; Capture the region - Syria and Lebanon (4); X
gain_state_siria_lebanon_all_short; Syria and Lebanon connection region (4); X
gain_state_siria_lebanon_all_setup_all; Capture Region Syria and Lebanon at the Power $ RECIPIENT $ .; X
gain_state_transjordan_all; Capture region - Transjordan (4); X
gain_state_transjordan_all_short; Capture region of Transjordan (4); X
gain_state_transjordan_all_setup_all; Capture the region of Transjordan from power $ RECIPIENT $ .; X
gain_state_iraq_all; Capture Region - Iraq (6); X
gain_state_iraq_all_short; Iraq connection region (6); X
gain_state_iraq_all_setup_all; the invasion of Iraq in the region Powers $ RECIPIENT $ .; X
gain_state_arabia_all; Region Capture - Arabia (6); X
gain_state_arabia_all_short; Accession Arabia region (6); X
gain_state_arabia_all_setup_all; Capture Arabia region near Powers $ RECIPIENT $ .; X
gain_state_omanyemen_all; Capture region - Oman and Yemen (6); X
gain_state_omanyemen_all_short; Oman and Yemen (6) Attaching the region; X
gain_state_omanyemen_all_setup_all; Capture the region of Oman and Yemen have powers $ RECIPIENT $ .; X
gain_state_iran_all; Capture the region - Iran (12); X
gain_state_iran_all_short; Iran Capture region (12); X
gain_state_iran_all_setup_all; Seize Iran in the region Powers $ RECIPIENT $ .; X
gain_state_kazakh_all; Capture the region - Kazakhstan (6); X
gain_state_kazakh_all_short; Accession Kazakhstan region (6); X
gain_state_kazakh_all_setup_all; Capture region in Kazakhstan Power $ RECIPIENT $ .; X
gain_state_turkestan_all; Capture region - Turkestan (6); X
gain_state_turkestan_all_short; Accession Turkestan region (6); X
gain_state_turkestan_all_setup_all; Capture Turkestan region have powers $ RECIPIENT $ .; X
gain_state_afgan_all; Capture the region - Afghanistan (6); X
gain_state_afgan_all_short; Accession Afghanistan region (6); X
gain_state_afgan_all_setup_all; Capture region of Afghanistan from power $ RECIPIENT $ .; X
gain_state_pakistan_all; Capture the region - Pakistan (8); X
gain_state_pakistan_all_short; Pakistan region Accession (8); X
gain_state_pakistan_all_setup_all; Seize Pakistan region in Power $ RECIPIENT $ .; X
gain_state_india_all; Capture the region - India (24); X
gain_state_india_all_short; Accession region, India (24); X
gain_state_india_all_setup_all; Capture region in India Power $ RECIPIENT $ .; X
gain_state_indianocean_all; Capture Region - Indian Ocean (6); X
gain_state_indianocean_all_short; Capture Indian Ocean region (6); X
gain_state_indianocean_all_setup_all; Capture the Indian Ocean region in Power $ RECIPIENT $ .; X
gain_state_atlanticocean_all; Capture region - Atlantic (6); X
gain_state_atlanticocean_all_short; Capture Atlantic region (6); X
gain_state_atlanticocean_all_setup_all; Seize the Atlantic region have powers $ RECIPIENT $ .; X
gain_state_myanma_all; Capture Region - Myanmar (6); X
gain_state_myanma_all_short; Region Myanmar Accession (6); X
gain_state_myanma_all_setup_all; Capture region in Myanmar Power $ RECIPIENT $ .; X
gain_state_thai_all; Capture the region - Thailand (6); X
gain_state_thai_all_short; Region Thailand Accession (6); X
gain_state_thai_all_setup_all; Capture region of Thailand at the Power $ RECIPIENT $ .; X
gain_state_malay_all; Capture region - Malaya (6); X
gain_state_malay_all_short; Accession Malaya region (6); X
gain_state_malay_all_setup_all; Capture region in Malaya Power $ RECIPIENT $ .; X
gain_state_indochina_all; Region Capture - Indochina (6); X
gain_state_indochina_all_short; Accession Indochina region (6); X
gain_state_indochina_all_setup_all; Seize the Indochina region at the Power $ RECIPIENT $ .; X
gain_state_sumatra_all; Region Capture - Sumatra (6); X
gain_state_sumatra_all_short; Accession Sumatra region (6); X
gain_state_sumatra_all_setup_all; Capture the region of Sumatra in Power $ RECIPIENT $ .; X
gain_state_java_all; Region Capture - Java (12); X
gain_state_java_all_short; region of Java Connection (12); X
gain_state_java_all_setup_all; Capture Java region at Power $ RECIPIENT $ .; X
gain_state_borneo_all; Region Capture - Kalimantan (6); X
gain_state_borneo_all_short; Accession Kalimantan region (6); X
gain_state_borneo_all_setup_all; Capture Kalimantan region at Power $ RECIPIENT $ .; X
gain_state_moluccas_all; Region Capture - Molukka (6); X
gain_state_moluccas_all_short; Molukka connection region (6); X
gain_state_moluccas_all_setup_all; Seize Power in the region Molukka $ RECIPIENT $ .; X
gain_state_zondean_all; Capture Region - Sunda Islands (6); X
gain_state_zondean_all_short; Accession Sunda Islands region (6); X
gain_state_zondean_all_setup_all; Capture Sunda Islands region at Power $ RECIPIENT $ .; X
gain_state_newgvinea_all; Capture Region - New Guinea (6); X
gain_state_newgvinea_all_short; Capture New Guinea region (6); X
gain_state_newgvinea_all_setup_all; Capture New Guinea region at Power $ RECIPIENT $ .; X
gain_state_philipines_all; Capture Region - Philippines (6); X
gain_state_philipines_all_short; Capture region Philippines (6); X
gain_state_philipines_all_setup_all; Capture region Philippines have powers $ RECIPIENT $ .; X
gain_state_australia_all; Capture the region - Australia (12); X
gain_state_australia_all_short; Capture region Australia (12); X
gain_state_australia_all_setup_all; Capture region in Australia Power $ RECIPIENT $ .; X
gain_state_newzeland_all; Capture Region - New Zealand (6); X
gain_state_newzeland_all_short; Capture region New Zealand (6); X
gain_state_newzeland_all_setup_all; Capture region in New Zealand Power $ RECIPIENT $ .; X
gain_state_pacific_all; Capture region - Pacific (12); X
gain_state_pacific_all_short; Capture Pacific region (12); X
gain_state_pacific_all_setup_all; Capture region Pacific Ocean Power in $ RECIPIENT $ .; X
gain_state_korea_all; Capture the region - South Korea (12); X
gain_state_korea_all_short; Capture region of Korea (12); X
gain_state_korea_all_setup_all; Capture region from Korea Power $ RECIPIENT $ .; X
gain_state_nippon_all; Capture the region - Japan (36) (NMP); X
gain_state_nippon_all_short; Japan region Accession; X
gain_state_nippon_all_setup_all; Seize power in the region, Japan $ RECIPIENT $ .; X
gain_state_canada_all; Capture the region - Canada (12); X
gain_state_canada_all_short; Capture Canada region (12); X
gain_state_canada_all_setup_all; Seize Power in Canada region $ RECIPIENT $ .; X
gain_state_mexico_all; Capture the region - Mexico (18); X
gain_state_mexico_all_short; Capture Mexico region (18); X
gain_state_mexico_all_setup_all; Capture region in Mexico Power $ RECIPIENT $ .; X
gain_state_centralamerica_all; Capture Region - Center. America (12); X
gain_state_centralamerica_all_short; Capture Central American region (12); X
gain_state_centralamerica_all_setup_all; Capture the region of Central America in Powers $ RECIPIENT $ .; X
gain_state_carribean_all; Capture the region - the Caribbean (12); X
gain_state_carribean_all_short; Capture Caribbean region (12); X
gain_state_carribean_all_setup_all; Capture the Caribbean region in Power $ RECIPIENT $ .; X
gain_state_venezuela_all; Capture the region - Venezuela (12); X
gain_state_venezuela_all_short; Capture region of Venezuela (12); X
gain_state_venezuela_all_setup_all; Seize Venezuela Region in Power $ RECIPIENT $ .; X
gain_state_columbia_all; Capture the region - Colombia (12); X
gain_state_columbia_all_short; Accession Columbia region (12); X
gain_state_columbia_all_setup_all; Capture the DC power in the region $ RECIPIENT $ .; X
gain_state_ecuador_all; Capture Region - Ecuador (12); X
gain_state_ecuador_all_short; Capture region of Ecuador (12); X
gain_state_ecuador_all_setup_all; Capture region in Ecuador Power $ RECIPIENT $ .; X
gain_state_peru_all; Capture Region - Peru (12); X
gain_state_peru_all_short; Capture Region Peru (12); X
gain_state_peru_all_setup_all; Seize Power in Peru region $ RECIPIENT $ .; X
gain_state_brazil_all; Capture Region - Brazil (24); X
gain_state_brazil_all_short; region of Brazil connection (24); X
gain_state_brazil_all_setup_all; Capture region in Brazil Power $ RECIPIENT $ .; X
gain_state_paraguai_all; Capture region - Paraguay (12); X
gain_state_paraguai_all_short; Capture region of Paraguay (12); X
gain_state_paraguai_all_setup_all; Capture region of Paraguay have Power $ RECIPIENT $ .; X
gain_state_argentina_all; Capture the region - Argentina (18); X
gain_state_argentina_all_short; region Argentina fitting (18); X
gain_state_argentina_all_setup_all; Capture region in Argentina Power $ RECIPIENT $ .; X
gain_state_bolivia_all; Capture the region - Bolivia (12); X
gain_state_bolivia_all_short; Capture Region Bolivia (12); X
gain_state_bolivia_all_setup_all; Capture region of Bolivia have powers $ RECIPIENT $ .; X
gain_state_chilie_all; Capture Region - Chile (12); X
gain_state_chilie_all_short; Capture Region Chile (12); X
gain_state_chilie_all_setup_all; Capture region of Chile in power $ RECIPIENT $ .; X
gain_state_uruguai_all; Capture the region - Uruguay (12); X
gain_state_uruguai_all_short; Capture region Uruguay (12); X
gain_state_uruguai_all_setup_all; Seize Power in the region Uruguay $ RECIPIENT $ .; X
gain_state_westusa_all; Capture Region - US West (18); X
gain_state_westusa_all_short; Capture US West region (18); X
gain_state_westusa_all_setup_all; Seize the region at US West power $ RECIPIENT $ .; X
gain_state_midwestusa_all; Capture the region - the US Midwest (24); X
gain_state_midwestusa_all_short; Capture region the US Midwest (24); X
gain_state_midwestusa_all_setup_all; Capture a region the US Midwest in Power $ RECIPIENT $ .; X
gain_state_northeastusa_all; Capture the region - the United States of the North-East (36) (NMP); X
gain_state_northeastusa_all_short; Capture North-East region of the United States; X
gain_state_northeastusa_all_setup_all; Seize the Northeast region of the United States have powers $ RECIPIENT $ .; X
gain_state_southusa_all; Capture Region - US South (18); X
gain_state_southusa_all_short; Capture US South region (18); X
gain_state_southusa_all_setup_all; Seize the South region in the United States Power $ RECIPIENT $ .; X
gain_state_manchu_all; Region Capture - Manzhouli (12); X
gain_state_manchu_all_short; Accession Manchuria region (12); X
gain_state_manchu_all_setup_all; Capture the region of Manchuria in Power $ RECIPIENT $ .; X
gain_state_primorie_all; Region Capture - Primorye (12); X
gain_state_primorie_all_short; Primorye region Accession (12); X
gain_state_primorie_all_setup_all; Seize Power in Primorye region $ RECIPIENT $ .; X
gain_state_fareast_all; Capture the region - the Far East (12); X
gain_state_fareast_all_short; Capture Far East (12); X
gain_state_fareast_all_setup_all; Capture the Far East in power $ RECIPIENT $ .; X
gain_state_northsiberia_all; Capture Region - Northern Siberia (12); X
gain_state_northsiberia_all_short; Northern Siberia connection region (12); X
gain_state_northsiberia_all_setup_all; Capture the region of North Siberia in power $ RECIPIENT $ .; X
gain_state_southsiberia_all; Capture the region - South Siberia (18); X
gain_state_southsiberia_all_short; Southern Siberia connection region (18; X
gain_state_southsiberia_all_setup_all; Capture region in southern Siberia Power $ RECIPIENT $ .; X
gain_state_ural_all; Capture region - Ural (24); X
gain_state_ural_all_short; Accession Ural region (24); X
gain_state_ural_all_setup_all; Seize the Ural region in Power $ RECIPIENT $ .; X
gain_state_northrenrussia_all; Capture Region - North Russia (18); X
gain_state_northrenrussia_all_short; North of Russia Capture region (18); X
gain_state_northrenrussia_all_setup_all; Capture region in northern Russia Power $ RECIPIENT $ .; X
gain_state_centralrussia_all; Capture region - Central Russia (36); X
gain_state_centralrussia_all_short; Capture regions of Central Russia (36); X
gain_state_centralrussia_all_setup_all; Capture the region of Central Russia in Power $ RECIPIENT $ .; X
gain_state_southernrussia_all; Capture the region - South Russia (18); X
gain_state_southernrussia_all_short; South Russia Capture region (18); X
gain_state_southernrussia_all_setup_all; Capture region in southern Russia Power $ RECIPIENT $ .; X
gain_state_gayana_all; Capture Region - Guyana (12); X
gain_state_gayana_all_short; Accession Guyana region (12); X
gain_state_gayana_all_setup_all; Seize the Guyana region in Power $ RECIPIENT $ .; X
gain_state_libya_all; Capture region - Libya (6); X
gain_state_libya_all_short; Accession region, Libya (6); X
gain_state_libya_all_setup_all; Capture a region of Libya from power $ RECIPIENT $ .; X
gain_state_tunis_all; Capture the region - Tunisia (6); X
gain_state_tunis_all_short; Capture Region Tunisia (6); X
gain_state_tunis_all_setup_all; Capture region in Tunisia Power $ RECIPIENT $ .; X
gain_state_algeria_all; Capture the region - Algeria (6); X
gain_state_algeria_all_short; region Algeria Accession (6); X
gain_state_algeria_all_setup_all; Capture region in Algeria Power $ RECIPIENT $ .; X
gain_state_morocco_all; Capture the region - Morocco (6); X
gain_state_morocco_all_short; Capture Morocco in the region (6); X
gain_state_morocco_all_setup_all; Seize Power in Morocco region $ RECIPIENT $ .; X
gain_state_egypt_all; Capture the region - Egypt (6); X
gain_state_egypt_all_short; region Egypt Accession (6); X
gain_state_egypt_all_setup_all; Seize Power in Egypt region $ RECIPIENT $ .; X
gain_state_ethiopia_all; Capture region - Ethiopia (6); X
gain_state_ethiopia_all_short; Region Ethiopia Accession (6); X
gain_state_ethiopia_all_setup_all; Capture region in Ethiopia Powers $ RECIPIENT $ .; X
gain_state_sudan_all; Capture region - Sudan (6); X
gain_state_sudan_all_short; region of Sudan Accession (6); X
gain_state_sudan_all_setup_all; Capture region of Sudan have powers $ RECIPIENT $ .; X
gain_state_sahara_all; Capture Region - Sahara (6); X
gain_state_sahara_all_short; Capture Sahara region (6); X
gain_state_sahara_all_setup_all; Seize power in the Sahara region $ RECIPIENT $ .; X
gain_state_westafrica_all; Capture Region - West Africa (12); X
gain_state_westafrica_all_short; Capture West African region (12); X
gain_state_westafrica_all_setup_all; Capture the region of West Africa at the Power $ RECIPIENT $ .; X
gain_state_centralafrica_all; Capture Region - Central Africa (12); X
gain_state_centralafrica_all_short; Capture Central African region (12); X
gain_state_centralafrica_all_setup_all; Capture the region of Central Africa from the power $ RECIPIENT $ .; X
gain_state_southafrica_all; Capture the region - South Africa (12); X
gain_state_southafrica_all_short; South Africa (12) Accession of the region; X
gain_state_southafrica_all_setup_all; Capture region in South Africa Power $ RECIPIENT $ .; X
gain_state_eastafrica_all; Capture Region - East Africa (12); X
gain_state_eastafrica_all_short; Capture Eastern African Region (12); X
gain_state_eastafrica_all_setup_all; Capture the region of East Africa from the Power $ RECIPIENT $ .; X
gain_state_madagascar_all; Capture region - Madagascar (4); X
gain_state_madagascar_all_short; region of Madagascar fitting (4); X
gain_state_madagascar_all_setup_all; Capture a region of Madagascar have powers $ RECIPIENT $ .; X
gain_state_mongolia_all; Capture region - Mongolia (6); X
gain_state_mongolia_all_short; Accession Mongolia region (6); X
gain_state_mongolia_all_setup_all; Capture region in Mongolia Power $ RECIPIENT $ .; X
gain_state_xinjiang_all; Capture Region - Xinjiang (6); X
gain_state_xinjiang_all_short; Capture Xinjiang region (6); X
gain_state_xinjiang_all_setup_all; Seize the Xinjiang region have powers $ RECIPIENT $ .; X
gain_state_tibet_all; Capture Region - Tibet (6); X
gain_state_tibet_all_short; Capture Tibet region (6); X
gain_state_tibet_all_setup_all; Capture Tibet region have powers $ RECIPIENT $ .; X
gain_state_westchina_all; Capture Region - Western China (12); X
gain_state_westchina_all_short; Capture West China region (12); X
gain_state_westchina_all_setup_all; Capture region in Western China Power $ RECIPIENT $ .; X
gain_state_southernchina_all; Capture the region - South China (12); X
gain_state_southernchina_all_short; Capture South China region (12); X
gain_state_southernchina_all_setup_all; Capture region in Southern China Power $ RECIPIENT $ .; X
gain_state_centralchina_all; Capture region - Central China (12); X
gain_state_centralchina_all_short; Central China Accession Region (12); X
gain_state_centralchina_all_setup_all; Capture region in Central China Power $ RECIPIENT $ .; X
gain_state_northchina_all; Capture Region - North China (12); X
gain_state_northchina_all_short; Capture North China region (12); X
gain_state_northchina_all_setup_all; Capture region in North China Power $ RECIPIENT $ .; X
gain_state_rhein_germany_all; Capture Region - Rhineland (18); X
gain_state_rhein_germany_all_short; Accession Rhineland region (18); X
gain_state_rhein_germany_all_setup_all; Seize Power in the region Rhineland $ RECIPIENT $ .; X
gain_state_northwest_germany_all; Capture Region - West Germany (30); X
gain_state_northwest_germany_all_short; Capture region West Germany (30); X
gain_state_northwest_germany_all_setup_all; Capture region in West Germany Power $ RECIPIENT $ .; X
gain_state_northeast_germany_all; Capture Region - East Germany (36); X
gain_state_northeast_germany_all_short; Capture region East Germany (36); X
gain_state_northeast_germany_all_setup_all; Capture region in East Germany Power $ RECIPIENT $ .; X
gain_state_southern_germany_all; Capture the region - South Germany (30); X
gain_state_southern_germany_all_short; Southern Germany Capture region (30); X
gain_state_southern_germany_all_setup_all; Capture region in Southern Germany Power $ RECIPIENT $ .; X
gain_state_westukraine_all; Capture Region - Western Ukraine (12); X
gain_state_westukraine_all_short; Capture Region Western Ukraine (12); X
gain_state_westukraine_all_setup_all; Capture region in Western Ukraine Power $ RECIPIENT $ .; X
gain_state_eastkraine_all; Capture Region - East Ukraine (12); X
gain_state_eastkraine_all_short; Capture region East Ukraine (12); X
gain_state_eastkraine_all_setup_all; Capture region in eastern Ukraine power $ RECIPIENT $ .; X
gain_state_prussia_all; Region Capture - Prussia (12); X
gain_state_prussia_all_short; Capture region of Prussia (12); X
gain_state_prussia_all_setup_all; Capture the region of Prussia in power $ RECIPIENT $ .; X
gain_state_germanpolen_all; Region Capture - German Poland (12); X
gain_state_germanpolen_all_short; Capture German Poland region (12); X
gain_state_germanpolen_all_setup_all; Capture the German region of Poland at Power $ RECIPIENT $ .; X
gain_state_russianpolen_all; Capture region - Russian Poland (12); X
gain_state_russianpolen_all_short; Capture Russian Poland region (12); X
gain_state_russianpolen_all_setup_all; Seize the Russian region of Poland at Power $ RECIPIENT $ .; X
gain_state_austrianpolen_all; Capture region - Galicia (12); X
gain_state_austrianpolen_all_short; Capture region of Galicia (12); X
gain_state_austrianpolen_all_setup_all; Capture the region of Galicia in Power $ RECIPIENT $ .; X
LAF_conservative; Progressivist party; X
LAF_liberal; Progressive Republican Party; X
LAF_reactionary; Party of National Mobilization; X
LAF_anarcho_liberal; Libertarian Party; X
LAF_socialist; Democratic Labor Party; X
LAF_communist; Party of Socialism and Freedom; X
LAF_fascist; Integralists; X
LAF; South American Federation; X
LAF_presidential_dictatorship; South American Federation; X
LAF_bourgeois_dictatorship; South American Federation; X
LAF_fascist_dictatorship; South American Union; X
LAF_democracy; South American Federation; X
LAF_absolute_monarchy; South American Empire; X
LAF_hms_government; South American Empire; X
LAF_proletarian_dictatorship; South American Republic; X
LAF_ADJ; Latin;. X
ANU; Andean Union; X
ANU_ADJ; Latin;. X
FRA_absolute_monarchy; French Empire; X
FRA_hms_government; France; X
FRA_proletarian_dictatorship; French Commune; X
FRA_presidential_dictatorship; France; X
FRA_bourgeois_dictatorship; France; X
FRA_fascist_dictatorship; French Republic; X
FRA_democracy; France; X
TUR_fascist_dictatorship; Turkish Empire; X
TUR_proletarian_dictatorship; Ottoman Republic; X
JAP_absolute_monarchy; Japanese Empire; X
JAP_hms_government; Japan; X
JAP_proletarian_dictatorship; Japanese Union; X
JAP_presidential_dictatorship; Japan; X
JAP_bourgeois_dictatorship; Japan; X
JAP_fascist_dictatorship; Japanese Empire; X
JAP_democracy; the Japan Republic; X
GER_fascist_dictatorship; Third Reich; X
WEL; Wales; X
KAZ; Kazakh Khanate; X
JAP; Empire of Japan; X
USA; United States; X
CSA; Confederate States of America; X
ENG_fascist_dictatorship; British Republic; X
The ALS; Alsace-Lorraine; X
OST; East India Company; X
OST_ADJ; British;. X
WHW; Weihai; X
QDO; Qingdao; X
SGH; Shanghai; X
JXG; Jiaxing; X
SXG; Shaoxing; X
NGB; Ningbo; X
HKG; Hong Kong; X
MCO; Macau; X
TWN; Taiwan; X
BJG; Beijing; X
TJG; Tyatszin; X
GNG; Guangdong; X
HNN; Hunan; X
JXI; Jiangxi; X
FJN; Fujian; X
ZJG; Zhejiang; X
HBI; Hebei; X
AHI; Anhui; X
HEN; Henan; X
JXU; Jiangsu; X
SHA; Shaoxing; X
SHA_ADJ; chinese;. X
WHW_ADJ; chinese;. X
QDO_ADJ; chinese;. X
SGH_ADJ; chinese;. X
JXG_ADJ; chinese;. X
SXG_ADJ; chinese;. X
NGB_ADJ; chinese;. X
HKG_ADJ; chinese;. X
MCO_ADJ; chinese;. X
TWN_ADJ; chinese;. X
BJG_ADJ; chinese;. X
TJG_ADJ; chinese;. X
GNG_ADJ; chinese;. X
HNN_ADJ; chinese;. X
JXI_ADJ; chinese;. X
FJN_ADJ; chinese;. X
ZJG_ADJ; chinese;. X
HBI_ADJ; chinese;. X
AHI_ADJ; chinese;. X
HEN_ADJ; chinese;. X
JXU_ADJ; chinese;. X
AUS; Austrian Empire; X
HAB; Austria; X
HAB_ADJ; Austrian;. X
new_world_gates; Gateway to the West; X
badboy_off; No dishonor; X
korean_assimilation; Assimilation of Korea; X
army_tech_research_bonus; Research in military affairs; X
navy_tech_research_bonus; Studies in the doctrines; X
extremely_low_cost_of_production; extremely low production costs; X
lowest_cost_of_production; Very low cost of production; X
lower_cost_of_production; Pretty low production costs; X
low_cost_of_production; Low production costs; X
medium_cost_of_production; average cost of production; X
high_cost_of_production; high production costs; X
higher_cost_of_production; rather high production costs; X
veryhigh_cost_of_production; Very high production costs; X
highest_cost_of_production; Extremely high production costs; X
extremely_high_cost_of_production; highest production costs; X
reform_cutoff; Nerf medreform; X
reform_trinket_cutoff_10; Nerf medreform - 10; X
reform_trinket_cutoff_15; Nerf medreform - 15; X
reform_trinket_cutoff_20; Nerf medreform - 20; X
reform_trinket_cutoff_25; Nerf medreform - 25; X
reform_trinket_cutoff_30; Nerf medreform - 30; X
reform_trinket_cutoff_32; Nerf medreform - 32; X
reform_trinket_cutoff_35; Nerf medreform - 35; X
reform_low_cutoff_10; Nerf medreform - 10; X
reform_low_cutoff_15; Nerf medreform - 15; X
reform_low_cutoff_20; Nerf medreform - 20; X
reform_low_cutoff_25; Nerf medreform - 25; X
reform_low_cutoff_30; Nerf medreform - 30; X
reform_low_cutoff_32; Nerf medreform - 32; X
reform_low_cutoff_35; Nerf medreform - 35; X
reform_acceptable_cutoff_10; Nerf medreform - 10; X
reform_acceptable_cutoff_15; Nerf medreform - 15; X
reform_acceptable_cutoff_20; Nerf medreform - 20; X
reform_acceptable_cutoff_25; Nerf medreform - 25; X
reform_acceptable_cutoff_30; Nerf medreform - 30; X
reform_acceptable_cutoff_32; Nerf medreform - 32; X
reform_acceptable_cutoff_35; Nerf medreform - 35; X
reform_good_cutoff_10; Nerf medreform - 10; X
reform_good_cutoff_15; Nerf medreform - 15; X
reform_good_cutoff_20; Nerf medreform - 20; X
reform_good_cutoff_25; Nerf medreform - 25; X
reform_good_cutoff_30; Nerf medreform - 30; X
reform_good_cutoff_32; Nerf medreform - 32; X
reform_good_cutoff_35; Nerf medreform - 35; X
laf_mobilization; Mobilization; X
patriots; Rise of the nationalists; X
ire_disaster; Potato famine; X
extremely_low_immigration; extremely low immigration; X
lower_immigration; Very low immigration; X
low_immigration; low immigration; X
medium_immigration; average immigration; X
high_immigration; high immigration; X
higher_immigration; Very high immigration; X
extremely_high_immigration; Extremely high immigration; X
highest_immigration; Highest immigration; X
issue_little_stage1; emissions - Stage 1; X
issue_little_stage2; emissions - Stage 2; X
issue_little_stage3; emissions - Stage 3; X
issue_average_stage1; emissions - Stage 1; X
issue_average_stage2; emissions - Stage 2; X
issue_average_stage3; emissions - Stage 3; X
issue_average_stage4; emissions - Stage 4; X
issue_large_stage1; emissions - Stage 1; X
issue_large_stage2; emissions - Stage 2; X
issue_large_stage3; emissions - Stage 3; X
issue_large_stage4; emissions - Stage 4; X
devaluation_little_stage1; Devaluation - Stage 1; X
devaluation_little_stage2; Devaluation - Stage 2; X
devaluation_little_stage3; Devaluation - Stage 3; X
devaluation_average_stage1; Devaluation - Stage 1; X
devaluation_average_stage2; Devaluation - Stage 2; X
devaluation_average_stage3; Devaluation - Stage 3; X
devaluation_average_stage4; Devaluation - Stage 4; X
